Logging output to klines_all_daily.log
[2025-09-07 12:11:54] - Finished storing daily k-line data for 0.002010.
[2025-09-07 12:11:54] - Fetching daily k-line for 0.872351 (klt: 101)...
[2025-09-07 12:11:56] - Received 1144 data points for 0.872351. Storing...
[2025-09-07 12:11:56] - Finished storing daily k-line data for 0.872351.
[2025-09-07 12:11:56] - Fetching daily k-line for 1.603066 (klt: 101)...
[2025-09-07 12:11:58] - Received 2408 data points for 1.603066. Storing...
[2025-09-07 12:11:58] - Finished storing daily k-line data for 1.603066.
[2025-09-07 12:11:58] - Fetching daily k-line for 1.603967 (klt: 101)...
[2025-09-07 12:12:03] - Received 1545 data points for 1.603967. Storing...
[2025-09-07 12:12:04] - Finished storing daily k-line data for 1.603967.
[2025-09-07 12:12:04] - Fetching daily k-line for 0.001228 (klt: 101)...
[2025-09-07 12:12:09] - Received 816 data points for 0.001228. Storing...
[2025-09-07 12:12:09] - Finished storing daily k-line data for 0.001228.
[2025-09-07 12:12:09] - Fetching daily k-line for 0.300240 (klt: 101)...
[2025-09-07 12:12:26] - Received 3293 data points for 0.300240. Storing...
[2025-09-07 12:12:26] - Finished storing daily k-line data for 0.300240.
[2025-09-07 12:12:26] - Fetching daily k-line for 1.603836 (klt: 101)...
[2025-09-07 12:12:28] - Received 1042 data points for 1.603836. Storing...
[2025-09-07 12:12:28] - Finished storing daily k-line data for 1.603836.
[2025-09-07 12:12:28] - Fetching daily k-line for 1.900914 (klt: 101)...
[2025-09-07 12:12:49] - Received 7568 data points for 1.900914. Storing...
[2025-09-07 12:12:50] - Finished storing daily k-line data for 1.900914.
[2025-09-07 12:12:50] - Fetching daily k-line for 1.603813 (klt: 101)...
[2025-09-07 12:12:56] - Received 1934 data points for 1.603813. Storing...
[2025-09-07 12:12:56] - Finished storing daily k-line data for 1.603813.
[2025-09-07 12:12:56] - Fetching daily k-line for 1.688211 (klt: 101)...
[2025-09-07 12:13:03] - Received 941 data points for 1.688211. Storing...
[2025-09-07 12:13:03] - Finished storing daily k-line data for 1.688211.
[2025-09-07 12:13:03] - Fetching daily k-line for 0.300350 (klt: 101)...
[2025-09-07 12:13:10] - Received 2978 data points for 0.300350. Storing...
[2025-09-07 12:13:10] - Finished storing daily k-line data for 0.300350.
[2025-09-07 12:13:10] - Fetching daily k-line for 1.603128 (klt: 101)...
[2025-09-07 12:13:12] - Received 3113 data points for 1.603128. Storing...
[2025-09-07 12:13:12] - Finished storing daily k-line data for 1.603128.
[2025-09-07 12:13:12] - Fetching daily k-line for 0.001331 (klt: 101)...
[2025-09-07 12:13:14] - Received 726 data points for 0.001331. Storing...
[2025-09-07 12:13:14] - Finished storing daily k-line data for 0.001331.
[2025-09-07 12:13:14] - Fetching daily k-line for 0.001202 (klt: 101)...
[2025-09-07 12:13:16] - Received 1058 data points for 0.001202. Storing...
[2025-09-07 12:13:16] - Finished storing daily k-line data for 0.001202.
[2025-09-07 12:13:16] - Fetching daily k-line for 0.002682 (klt: 101)...
[2025-09-07 12:13:19] - Received 3123 data points for 0.002682. Storing...
[2025-09-07 12:13:19] - Finished storing daily k-line data for 0.002682.
[2025-09-07 12:13:19] - Fetching daily k-line for 0.001213 (klt: 101)...
[2025-09-07 12:13:20] - Received 968 data points for 0.001213. Storing...
[2025-09-07 12:13:21] - Finished storing daily k-line data for 0.001213.
[2025-09-07 12:13:21] - Fetching daily k-line for 1.600119 (klt: 101)...
[2025-09-07 12:13:30] - Received 6613 data points for 1.600119. Storing...
[2025-09-07 12:13:31] - Finished storing daily k-line data for 1.600119.
[2025-09-07 12:13:31] - Fetching daily k-line for 1.600787 (klt: 101)...
[2025-09-07 12:13:51] - Received 6839 data points for 1.600787. Storing...
[2025-09-07 12:13:51] - Finished storing daily k-line data for 1.600787.
[2025-09-07 12:13:51] - Fetching daily k-line for 1.600057 (klt: 101)...
[2025-09-07 12:13:54] - Received 6164 data points for 1.600057. Storing...
[2025-09-07 12:13:55] - Finished storing daily k-line data for 1.600057.
[2025-09-07 12:13:55] - Fetching daily k-line for 1.603871 (klt: 101)...
[2025-09-07 12:13:57] - Received 1840 data points for 1.603871. Storing...
[2025-09-07 12:13:57] - Finished storing daily k-line data for 1.603871.
[2025-09-07 12:13:57] - Fetching daily k-line for 0.002492 (klt: 101)...
[2025-09-07 12:14:00] - Received 3319 data points for 0.002492. Storing...
[2025-09-07 12:14:00] - Finished storing daily k-line data for 0.002492.
[2025-09-07 12:14:00] - Fetching daily k-line for 1.603713 (klt: 101)...
[2025-09-07 12:14:01] - Received 1737 data points for 1.603713. Storing...
[2025-09-07 12:14:01] - Finished storing daily k-line data for 1.603713.
